ID,Resource Class,Date Range,Bounding Box,Format
20b91a07-ace2-425b-ba45-59075ed64221,Datasets,2012-2012,"-79.875,40.375,-71.75,45.125",Shapefile
75cfcfb7-e1ef-4f45-a321-afa34239b2f1,Datasets,1990-1990,"-80.000,40.000,-69.883,45.000",Shapefile
d7a3c2e2-90cb-4afb-911b-37527defbd02,Datasets,1994-1994,"-80.756,40.097,-71.857,45.000",Shapefile
6e2c493a-2f38-461c-97a5-9ed423eca85b,Datasets,2015-2020,"-83.800,42.217,-83.661,42.324",Shapefile
368cbdea-bfdd-488f-bb1f-32af1e9e1250,Datasets,2013-2020,"-84.134,42.069,-83.535,42.438",Shapefile
9fc0f2be-6a1c-49c2-89ed-5151ab004320,Datasets|Web services,,"-86.686,38.991,-86.317,39.356",Shapefile
18b2a290-adb6-41d2-9da1-7f04ad73d63b,Datasets|Web services,,"-86.686,38.991,-86.317,39.356",Shapefile
3b66d51d-91a9-4459-993c-9df2d4b4e7ce,Datasets|Web services,2010-2010,"-87.54,37.85,-86.50,40.22",Shapefile
74ca2c92-1319-4b95-b307-77ef5a27134e,Datasets|Web services,2014-2014,"-87.54,37.85,-86.50,40.22",Shapefile
0bd3cc7e-466a-463e-8ead-2fdf2a9549fc,Datasets|Web services,2013-2013,"-87.65,37.92,-84.76,41.74",Shapefile
5138fbc4-5c77-42b5-b207-7680d4be208d,Datasets,2019-2019,"-87.843,42.319,-87.802,42.419",Shapefile
ed191e30-7802-4744-b16d-1cb4068155a3,Datasets|Web services,2012-2012,"-88.05,37.82,-84.76,41.76",Shapefile
8ffd317c-3610-4d35-b3ce-f444383cc1d6,Web services,2010-2010,"-88.095,37.770,-84.688,41.758",Shapefile
fd49f018-ca46-4081-934d-353a2219b8fa,Web services,2019-2019,"-88.097,37.767,-84.653,41.758",Shapefile
03704d59-8d1d-48d4-97e6-89d08499e8d6,Web services,2019-2019,"-88.097,37.767,-84.653,41.758",Shapefile
271c4d7b-bf08-44f7-b057-c556b4f50711,,2005-2005,"-88.10,37.76,-84.69,41.77",Shapefile
b77c51fd-9cc0-4992-99f2-f5526d453b35,Datasets|Web services,2005-2005,"-88.10,37.76,-84.69,41.77",Shapefile
13c8475d-69f2-431e-a28c-1e4b7434589c,Datasets,2003-2003,"-88.10,37.76,-84.69,41.77",Shapefile
95859702-fb29-49d6-8a4a-e1d550c7475f,Datasets|Web services,2005-2005,"-88.10,37.76,-84.69,41.77",Shapefile
30680367-c145-4693-8422-5f0a17dc4d96,Datasets|Web services,2002-2002,"-88.16,37.76,-84.69,41.78",Shapefile
d3ef661c-b799-46b0-a5c6-1e2dc9dbc223,Datasets|Web services,1997-1997,"-88.16,37.76,-84.69,41.78",Shapefile
1d756b21-368f-4a61-b887-5f4d1d459a96,Datasets|Web services,2011-2011,"-88.16,37.76,-84.69,41.78",Shapefile
ad46e46c-2a71-4d01-84e7-f8ba21cd0b4a,Datasets|Web services,2010-2010,"-88.16,37.76,-84.69,41.78",Shapefile
94bb53f1-d246-41da-b238-a48a2af5822b,Datasets|Web services,2010-2002,"-88.16,37.76,-84.69,41.78",Shapefile
985ac774-773a-41ad-97e3-878e0a4a1592,Datasets|Web services,1994-1994,"-88.16,37.76,-84.74,41.75",Shapefile
c1ec7fc0-e0f3-458f-9c0e-601fcff9b3d9,Datasets|Web services,2013-2013,"-88.16,37.76,-84.82,41.77",Shapefile
90451724-0f46-4fc8-af74-0d2acef71ed1,Datasets,1967-1996,"-91.58,36.95,-87.38,42.50",Shapefile
75e7ce57-2221-4170-a117-ba6695e14ec2,Datasets,2015-2015,"-92.333,41.333,-76.000,49.000",Shapefile
73cb7c0f-eeb1-4ed4-b309-b4202a06da0c,Datasets,2020-2020,"-93.467,44.818,-92.863,45.216",Geopackage
f23283b1-7825-4276-94ad-d30fc1f3a7ec,,2010-2010,"-97.270,43.435,-89.389,49.404",Shapefile
